,sumTotal,sumTotal,sumTotal,sumTotal
vaccine,johnson_johnson,moderna,pfizer_biontech,unknown
date,,,,
2021-03-23,,393.0,460.0,9.0
2021-03-24,,393.0,460.0,9.0
2021-03-25,,393.0,460.0,9.0
2021-03-26,,393.0,460.0,9.0
2021-03-27,,393.0,460.0,9.0
2021-03-28,,393.0,460.0,9.0
2021-03-29,,393.0,460.0,9.0
2021-03-30,,393.0,460.0,9.0
2021-03-31,,393.0,460.0,9.0
2021-04-01,,393.0,460.0,9.0
2021-04-02,,393.0,460.0,9.0
2021-04-03,,393.0,460.0,9.0
2021-04-04,,393.0,460.0,9.0
2021-04-05,,393.0,460.0,9.0
2021-04-06,,580.0,577.0,17.0
2021-04-07,,580.0,577.0,17.0
2021-04-08,,580.0,577.0,17.0
2021-04-09,,580.0,577.0,17.0
2021-04-10,,580.0,577.0,17.0
2021-04-11,,580.0,577.0,17.0
2021-04-12,,580.0,577.0,17.0
2021-04-13,,580.0,577.0,17.0
2021-04-14,,580.0,577.0,17.0
2021-04-15,,580.0,577.0,17.0
2021-04-16,,580.0,577.0,17.0
2021-04-17,,580.0,577.0,17.0
2021-04-18,,580.0,577.0,17.0
2021-04-19,,580.0,577.0,17.0
2021-04-20,,761.0,706.0,18.0
2021-04-21,,761.0,706.0,18.0
2021-04-22,,761.0,706.0,18.0
2021-04-23,,761.0,706.0,18.0
2021-04-24,,761.0,706.0,18.0
2021-04-25,,761.0,706.0,18.0
2021-04-26,,761.0,706.0,18.0
2021-04-27,,761.0,706.0,18.0
2021-04-28,,761.0,706.0,18.0
2021-04-29,,761.0,706.0,18.0
2021-04-30,,761.0,706.0,18.0
2021-05-01,,761.0,706.0,18.0
2021-05-02,,761.0,706.0,18.0
2021-05-03,,761.0,706.0,18.0
2021-05-04,,1061.0,870.0,22.0
2021-05-05,,1061.0,870.0,22.0
2021-05-06,,1061.0,870.0,22.0
2021-05-07,,1061.0,870.0,22.0
2021-05-08,,1061.0,870.0,22.0
2021-05-09,,1061.0,870.0,22.0
2021-05-10,,1061.0,870.0,22.0
2021-05-11,,1061.0,870.0,22.0
2021-05-12,,1061.0,870.0,22.0
2021-05-13,,1061.0,870.0,22.0
2021-05-14,,1061.0,870.0,22.0
2021-05-15,,1061.0,870.0,22.0
2021-05-16,,1061.0,870.0,22.0
2021-05-17,,1061.0,870.0,22.0
2021-05-18,,1061.0,870.0,22.0
2021-05-19,,1061.0,870.0,22.0
2021-05-20,,1304.0,992.0,29.0
2021-05-21,,1304.0,992.0,29.0
2021-05-22,,1304.0,992.0,29.0
2021-05-23,,1304.0,992.0,29.0
2021-05-24,,1304.0,992.0,29.0
2021-05-25,,1304.0,992.0,29.0
2021-05-26,,1304.0,992.0,29.0
2021-05-27,,1304.0,992.0,29.0
2021-05-28,,1304.0,992.0,29.0
2021-05-29,,1304.0,992.0,29.0
2021-05-30,,1304.0,992.0,29.0
2021-05-31,,1304.0,992.0,29.0
2021-06-01,,1304.0,992.0,29.0
2021-06-02,,1538.0,1120.0,43.0
2021-06-03,,1538.0,1120.0,43.0
2021-06-04,,1538.0,1120.0,43.0
2021-06-05,,1538.0,1120.0,43.0
2021-06-06,,1538.0,1120.0,43.0
2021-06-07,,1538.0,1120.0,43.0
2021-06-08,,1538.0,1120.0,43.0
2021-06-09,,1538.0,1120.0,43.0
2021-06-10,,1538.0,1120.0,43.0
2021-06-11,,1538.0,1120.0,43.0
2021-06-12,,1538.0,1120.0,43.0
2021-06-13,,1538.0,1120.0,43.0
2021-06-14,,1538.0,1120.0,43.0
2021-06-15,,1697.0,1201.0,46.0
2021-06-16,,1697.0,1201.0,46.0
2021-06-17,,1697.0,1201.0,46.0
2021-06-18,,1697.0,1201.0,46.0
2021-06-19,,1697.0,1201.0,46.0
2021-06-20,,1697.0,1201.0,46.0
2021-06-21,,1697.0,1201.0,46.0
2021-06-22,,1697.0,1201.0,46.0
2021-06-23,,1697.0,1201.0,46.0
2021-06-24,,1697.0,1201.0,46.0
2021-06-25,,1697.0,1201.0,46.0
2021-06-26,,1697.0,1201.0,46.0
2021-06-27,,1697.0,1201.0,46.0
2021-06-28,,1697.0,1201.0,46.0
2021-06-29,,1983.0,1377.0,59.0
2021-06-30,,1983.0,1377.0,59.0
2021-07-01,,1983.0,1377.0,59.0
2021-07-02,,1983.0,1377.0,59.0
2021-07-03,,1983.0,1377.0,59.0
2021-07-04,,1983.0,1377.0,59.0
2021-07-05,,1983.0,1377.0,59.0
2021-07-06,,1983.0,1377.0,59.0
2021-07-07,,1983.0,1377.0,59.0
2021-07-08,,1983.0,1377.0,59.0
2021-07-09,,1983.0,1377.0,59.0
2021-07-10,,1983.0,1377.0,59.0
2021-07-11,,1983.0,1377.0,59.0
2021-07-12,,1983.0,1377.0,59.0
2021-07-13,,1983.0,1377.0,59.0
2021-07-14,,1983.0,1377.0,59.0
2021-07-15,,1983.0,1377.0,59.0
2021-07-16,,1983.0,1377.0,59.0
2021-07-17,,1983.0,1377.0,59.0
2021-07-18,,1983.0,1377.0,59.0
2021-07-19,,1983.0,1377.0,59.0
2021-07-20,,1983.0,1377.0,59.0
2021-07-21,,2611.0,1632.0,66.0
2021-07-22,,2611.0,1632.0,66.0
2021-07-23,,2611.0,1632.0,66.0
2021-07-24,,2611.0,1632.0,66.0
2021-07-25,,2611.0,1632.0,66.0
2021-07-26,,2611.0,1632.0,66.0
2021-07-27,,2611.0,1632.0,66.0
2021-07-28,,2611.0,1632.0,66.0
2021-07-29,,2611.0,1632.0,66.0
2021-07-30,,2611.0,1632.0,66.0
2021-07-31,,2611.0,1632.0,66.0
