,sumTotal,sumTotal,sumTotal,sumTotal,sumTotal
age_group,12 - 17,18 - 44,45 - 64,65 - 74,75+
date,,,,,
2021-03-23,1,146,174,84,368
2021-03-24,1,146,174,84,368
2021-03-25,1,146,174,84,368
2021-03-26,1,146,174,84,368
2021-03-27,1,146,174,84,368
2021-03-28,1,146,174,84,368
2021-03-29,1,146,174,84,368
2021-03-30,1,146,174,84,368
2021-03-31,1,146,174,84,368
2021-04-01,1,146,174,84,368
2021-04-02,1,146,174,84,368
2021-04-03,1,146,174,84,368
2021-04-04,1,146,174,84,368
2021-04-05,1,146,174,84,368
2021-04-06,3,201,241,126,490
2021-04-07,3,201,241,126,490
2021-04-08,3,201,241,126,490
2021-04-09,3,201,241,126,490
2021-04-10,3,201,241,126,490
2021-04-11,3,201,241,126,490
2021-04-12,3,201,241,126,490
2021-04-13,3,201,241,126,490
2021-04-14,3,201,241,126,490
2021-04-15,3,201,241,126,490
2021-04-16,3,201,241,126,490
2021-04-17,3,201,241,126,490
2021-04-18,3,201,241,126,490
2021-04-19,3,201,241,126,490
2021-04-20,3,259,311,158,618
2021-04-21,3,259,311,158,618
2021-04-22,3,259,311,158,618
2021-04-23,3,259,311,158,618
2021-04-24,3,259,311,158,618
2021-04-25,3,259,311,158,618
2021-04-26,3,259,311,158,618
2021-04-27,3,259,311,158,618
2021-04-28,3,259,311,158,618
2021-04-29,3,259,311,158,618
2021-04-30,3,259,311,158,618
2021-05-01,3,259,311,158,618
2021-05-02,3,259,311,158,618
2021-05-03,3,259,311,158,618
2021-05-04,5,341,406,225,745
2021-05-05,5,341,406,225,745
2021-05-06,5,341,406,225,745
2021-05-07,5,341,406,225,745
2021-05-08,5,341,406,225,745
2021-05-09,5,341,406,225,745
2021-05-10,5,341,406,225,745
2021-05-11,5,341,406,225,745
2021-05-12,5,341,406,225,745
2021-05-13,5,341,406,225,745
2021-05-14,5,341,406,225,745
2021-05-15,5,341,406,225,745
2021-05-16,5,341,406,225,745
2021-05-17,5,341,406,225,745
2021-05-18,5,341,406,225,745
2021-05-19,5,341,406,225,745
2021-05-20,6,407,496,285,827
2021-05-21,6,407,496,285,827
2021-05-22,6,407,496,285,827
2021-05-23,6,407,496,285,827
2021-05-24,6,407,496,285,827
2021-05-25,6,407,496,285,827
2021-05-26,6,407,496,285,827
2021-05-27,6,407,496,285,827
2021-05-28,6,407,496,285,827
2021-05-29,6,407,496,285,827
2021-05-30,6,407,496,285,827
2021-05-31,6,407,496,285,827
2021-06-01,6,407,496,285,827
2021-06-02,8,484,604,362,899
2021-06-03,8,484,604,362,899
2021-06-04,8,484,604,362,899
2021-06-05,8,484,604,362,899
2021-06-06,8,484,604,362,899
2021-06-07,8,484,604,362,899
2021-06-08,8,484,604,362,899
2021-06-09,8,484,604,362,899
2021-06-10,8,484,604,362,899
2021-06-11,8,484,604,362,899
2021-06-12,8,484,604,362,899
2021-06-13,8,484,604,362,899
2021-06-14,8,484,604,362,899
2021-06-15,8,536,684,419,938
2021-06-16,8,536,684,419,938
2021-06-17,8,536,684,419,938
2021-06-18,8,536,684,419,938
2021-06-19,8,536,684,419,938
2021-06-20,8,536,684,419,938
2021-06-21,8,536,684,419,938
2021-06-22,8,536,684,419,938
2021-06-23,8,536,684,419,938
2021-06-24,8,536,684,419,938
2021-06-25,8,536,684,419,938
2021-06-26,8,536,684,419,938
2021-06-27,8,536,684,419,938
2021-06-28,8,536,684,419,938
2021-06-29,9,635,844,508,1036
2021-06-30,9,635,844,508,1036
2021-07-01,9,635,844,508,1036
2021-07-02,9,635,844,508,1036
2021-07-03,9,635,844,508,1036
2021-07-04,9,635,844,508,1036
2021-07-05,9,635,844,508,1036
2021-07-06,9,635,844,508,1036
2021-07-07,9,635,844,508,1036
2021-07-08,9,635,844,508,1036
2021-07-09,9,635,844,508,1036
2021-07-10,9,635,844,508,1036
2021-07-11,9,635,844,508,1036
2021-07-12,9,635,844,508,1036
2021-07-13,9,635,844,508,1036
2021-07-14,9,635,844,508,1036
2021-07-15,9,635,844,508,1036
2021-07-16,9,635,844,508,1036
2021-07-17,9,635,844,508,1036
2021-07-18,9,635,844,508,1036
2021-07-19,9,635,844,508,1036
2021-07-20,9,635,844,508,1036
2021-07-21,12,902,1190,649,1111
2021-07-22,12,902,1190,649,1111
2021-07-23,12,902,1190,649,1111
2021-07-24,12,902,1190,649,1111
2021-07-25,12,902,1190,649,1111
2021-07-26,12,902,1190,649,1111
2021-07-27,12,902,1190,649,1111
2021-07-28,12,902,1190,649,1111
2021-07-29,12,902,1190,649,1111
2021-07-30,12,902,1190,649,1111
2021-07-31,12,902,1190,649,1111
2021-08-01,12,902,1190,649,1111
2021-08-02,12,902,1190,649,1111
2021-08-03,12,902,1190,649,1111
2021-08-04,12,902,1190,649,1111
2021-08-05,12,902,1190,649,1111
2021-08-06,12,902,1190,649,1111
2021-08-07,12,902,1190,649,1111
2021-08-08,12,902,1190,649,1111
2021-08-09,12,902,1190,649,1111
2021-08-10,22,1301,1548,733,1162
2021-08-11,22,1301,1548,733,1162
2021-08-12,22,1301,1548,733,1162
2021-08-13,22,1301,1548,733,1162
2021-08-14,22,1301,1548,733,1162
2021-08-15,22,1301,1548,733,1162
2021-08-16,22,1301,1548,733,1162
2021-08-17,22,1301,1548,733,1162
2021-08-18,22,1301,1548,733,1162
2021-08-19,22,1301,1548,733,1162
2021-08-20,22,1301,1548,733,1162
2021-08-21,22,1301,1548,733,1162
2021-08-22,22,1301,1548,733,1162
2021-08-23,22,1301,1548,733,1162
2021-08-24,22,1301,1548,733,1162
2021-08-25,22,1301,1548,733,1162
2021-08-26,22,1301,1548,733,1162
2021-08-27,22,1301,1548,733,1162
2021-08-28,22,1301,1548,733,1162
2021-08-29,22,1301,1548,733,1162
2021-08-30,22,1301,1548,733,1162
2021-08-31,22,1301,1548,733,1162
2021-09-01,32,1778,2097,815,1198
2021-09-02,32,1778,2097,815,1198
2021-09-03,32,1778,2097,815,1198
