date,not_serious,serious
23/03/2021,598,264
24/03/2021,598,264
25/03/2021,598,264
26/03/2021,598,264
27/03/2021,598,264
28/03/2021,598,264
29/03/2021,598,264
30/03/2021,598,264
31/03/2021,598,264
01/04/2021,598,264
02/04/2021,598,264
03/04/2021,598,264
04/04/2021,598,264
05/04/2021,598,264
06/04/2021,778,396
07/04/2021,778,396
08/04/2021,778,396
09/04/2021,778,396
10/04/2021,778,396
11/04/2021,778,396
12/04/2021,778,396
13/04/2021,778,396
14/04/2021,778,396
15/04/2021,778,396
16/04/2021,778,396
17/04/2021,778,396
18/04/2021,778,396
19/04/2021,778,396
20/04/2021,948,537
21/04/2021,948,537
22/04/2021,948,537
23/04/2021,948,537
24/04/2021,948,537
25/04/2021,948,537
26/04/2021,948,537
27/04/2021,948,537
28/04/2021,948,537
29/04/2021,948,537
30/04/2021,948,537
01/05/2021,948,537
02/05/2021,948,537
03/05/2021,948,537
04/05/2021,1252,701
05/05/2021,1252,701
06/05/2021,1252,701
07/05/2021,1252,701
08/05/2021,1252,701
09/05/2021,1252,701
10/05/2021,1252,701
11/05/2021,1252,701
12/05/2021,1252,701
13/05/2021,1252,701
14/05/2021,1252,701
15/05/2021,1252,701
16/05/2021,1252,701
17/05/2021,1252,701
18/05/2021,1252,701
19/05/2021,1252,701
20/05/2021,1486,839
21/05/2021,1486,839
22/05/2021,1486,839
23/05/2021,1486,839
24/05/2021,1486,839
25/05/2021,1486,839
26/05/2021,1486,839
27/05/2021,1486,839
28/05/2021,1486,839
29/05/2021,1486,839
30/05/2021,1486,839
31/05/2021,1486,839
01/06/2021,1486,839
02/06/2021,1751,950
03/06/2021,1751,950
04/06/2021,1751,950
05/06/2021,1751,950
06/06/2021,1751,950
07/06/2021,1751,950
08/06/2021,1751,950
09/06/2021,1751,950
10/06/2021,1751,950
11/06/2021,1751,950
12/06/2021,1751,950
13/06/2021,1751,950
14/06/2021,1751,950
15/06/2021,1901,1043
16/06/2021,1901,1043
17/06/2021,1901,1043
18/06/2021,1901,1043
19/06/2021,1901,1043
20/06/2021,1901,1043
21/06/2021,1901,1043
22/06/2021,1901,1043
23/06/2021,1901,1043
24/06/2021,1901,1043
25/06/2021,1901,1043
26/06/2021,1901,1043
27/06/2021,1901,1043
28/06/2021,1901,1043
29/06/2021,2125,1294
30/06/2021,2125,1294
01/07/2021,2125,1294
02/07/2021,2125,1294
03/07/2021,2125,1294
04/07/2021,2125,1294
05/07/2021,2125,1294
06/07/2021,2125,1294
07/07/2021,2125,1294
08/07/2021,2125,1294
09/07/2021,2125,1294
10/07/2021,2125,1294
11/07/2021,2125,1294
12/07/2021,2125,1294
13/07/2021,2125,1294
14/07/2021,2125,1294
15/07/2021,2125,1294
16/07/2021,2125,1294
17/07/2021,2125,1294
18/07/2021,2125,1294
