date,johnson_johnson,moderna,pfizer_biontech
23/03/2021,,60.31076156,66.74811872
24/03/2021,,58.5975067,65.19560808
25/03/2021,,56.47841964,63.91285621
26/03/2021,,54.79734742,62.59976838
27/03/2021,,54.27869416,62.31989888
28/03/2021,,54.18029216,62.12606188
29/03/2021,,52.68308377,61.06116337
30/03/2021,,50.90258178,59.80456907
31/03/2021,,49.46420076,58.53944095
01/04/2021,,48.02727656,57.21649228
02/04/2021,,47.71658534,56.84064848
03/04/2021,,47.58284015,56.55128156
04/04/2021,,47.5471479,56.47373112
05/04/2021,,47.42710948,56.21135469
06/04/2021,,68.53305006,68.75022341
07/04/2021,,66.89703854,66.6735998
08/04/2021,,65.0039843,64.63088707
09/04/2021,,63.20747417,63.02174523
10/04/2021,,62.58267927,62.64480504
11/04/2021,,62.45887675,62.48944069
12/04/2021,,61.29613855,60.7015713
13/04/2021,,59.82051782,58.76834983
14/04/2021,,58.33050062,56.87289745
15/04/2021,,56.72188575,55.20147102
16/04/2021,,55.2551454,53.75422488
17/04/2021,,54.67685039,53.40762887
18/04/2021,,54.59039322,53.17599873
19/04/2021,,53.54579319,51.66699947
20/04/2021,,68.38427108,61.28876558
21/04/2021,,66.41056565,59.46515056
22/04/2021,,64.03621707,57.84993269
23/04/2021,,62.21600153,56.35498211
24/04/2021,,61.31069537,55.93585599
25/04/2021,,61.03194513,55.6525139
26/04/2021,,59.59587575,54.47497238
27/04/2021,,57.72086765,53.09847662
28/04/2021,,56.06132711,51.72691705
29/04/2021,,54.41381095,50.52370034
30/04/2021,,53.02459686,49.50883866
01/05/2021,,52.3883512,49.07160144
02/05/2021,,52.16212344,48.8562381
03/05/2021,,51.15251111,47.78432349
04/05/2021,,69.44862634,57.46052231
05/05/2021,,67.44421391,56.19646802
06/05/2021,,65.13166295,54.93485484
07/05/2021,,62.93288602,53.92787054
08/05/2021,,61.98121403,53.4386874
09/05/2021,,61.60628071,53.25269936
10/05/2021,,59.90343183,52.20196279
11/05/2021,,57.97155296,51.04154077
12/05/2021,,56.10612889,49.93700476
13/05/2021,,55.2675266,49.43678995
14/05/2021,,53.79664362,48.61345486
15/05/2021,,53.00341,48.21771796
16/05/2021,,52.69737551,48.02082448
17/05/2021,,51.37029412,47.15051039
18/05/2021,,49.82628893,46.20777565
19/05/2021,,48.26707112,45.36850174
20/05/2021,,57.33367628,50.80840162
21/05/2021,,55.64645045,49.93428507
22/05/2021,,54.85320458,49.58889209
23/05/2021,,54.53230809,49.47144844
24/05/2021,,53.76188925,49.07149995
25/05/2021,,52.31997355,48.21490628
26/05/2021,,50.85325443,47.3763213
27/05/2021,,49.38198671,46.64128666
28/05/2021,,48.0486677,45.92445889
29/05/2021,,47.37497584,45.58695735
30/05/2021,,47.10810769,45.39761123
31/05/2021,,46.10470081,44.69962483
01/06/2021,,44.92802558,43.99462308
02/06/2021,,51.52218234,48.99829118
03/06/2021,,50.17684238,48.47882536
04/06/2021,,48.79396731,47.95310871
05/06/2021,,47.94528875,47.58708011
06/06/2021,,47.64579287,47.4347941
07/06/2021,,46.50248689,46.96715863
08/06/2021,,45.29080199,46.48471773
09/06/2021,,44.12663829,46.01800454
10/06/2021,,43.0792535,45.60566976
11/06/2021,,42.09370475,45.13146352
12/06/2021,,41.48408365,44.81367713
13/06/2021,,41.26903628,44.6798826
14/06/2021,,40.43211361,44.295895
15/06/2021,,43.64323545,47.11030637
16/06/2021,,42.69973006,46.77237509
17/06/2021,,41.76430951,46.43731813
18/06/2021,,40.92196685,46.08210058
19/06/2021,,40.45621836,45.80886983
20/06/2021,,40.3025374,45.724563
21/06/2021,,39.63134674,45.43071419
22/06/2021,,38.92954532,45.15867767
23/06/2021,,38.26445769,44.90967024
24/06/2021,,37.63765078,44.65206892
25/06/2021,,37.05381756,44.36939125
26/06/2021,,36.72384362,44.2036696
27/06/2021,,36.61487004,44.12611914
28/06/2021,,36.12520652,43.9264143
29/06/2021,,41.63242786,50.10289833
30/06/2021,,41.03168089,49.84925758
01/07/2021,,40.51566657,49.63407038
02/07/2021,,39.99096523,49.4430032
