,rate,rate,rate
vaccine,johnson_johnson,moderna,pfizer_biontech
date,,,
2021-03-23,,152.33739049538724,190.2674084338097
2021-03-24,,148.19786866576666,185.21650198503772
2021-03-25,,143.90754763962326,181.04534005037783
2021-03-26,,140.78603746413182,176.48119516134602
2021-03-27,,140.16741624729383,175.59396567519696
2021-03-28,,139.91491179664277,175.4573333536762
2021-03-29,,137.38040389139607,170.9344540687974
2021-03-30,,135.1193382246763,165.73052936492783
2021-03-31,,132.30541341233504,160.77001848855213
2021-04-01,,128.892605893639,155.37600994406463
2021-04-02,,128.19885501785978,153.87394378917932
2021-04-03,,127.73010920436818,153.15771248967852
2021-04-04,,127.72429751636365,152.82036630377365
2021-04-05,,127.59823115734518,151.8778373916632
2021-04-06,,184.16732554115026,182.91967702154776
2021-04-07,,180.4470108019314,175.27072796585713
2021-04-08,,176.25161437362303,168.11766488351222
2021-04-09,,172.62880936719634,163.0012571154145
2021-04-10,,171.44951698532628,162.12464772308996
2021-04-11,,171.3497336693364,161.6241971311005
2021-04-12,,169.3089567357233,157.69077304007038
2021-04-13,,166.7116979873874,152.94572944775194
2021-04-14,,164.2333699554871,148.34659111360213
2021-04-15,,161.48297050708436,144.22908678241654
2021-04-16,,158.96029007512243,140.53906596324063
2021-04-17,,158.0829444856308,139.9473196571412
2021-04-18,,158.07260438242668,139.64249584944747
2021-04-19,,156.0666889106545,136.2047272718689
2021-04-20,,199.92959115580845,162.51591205725347
2021-04-21,,194.41087883425004,158.8397945432006
2021-04-22,,187.12087123084223,155.7120518040322
2021-04-23,,181.61597647822518,152.92242111282468
2021-04-24,,179.6213553505213,152.35152200465257
2021-04-25,,179.34324081013185,151.68410174436715
2021-04-26,,173.81175342027726,149.76792335955332
2021-04-27,,167.05741857871675,147.47105932681342
2021-04-28,,161.83053514657252,145.31263828885108
2021-04-29,,156.80440453475865,142.8996484182871
2021-04-30,,154.19747407922225,141.64419619928094
2021-05-01,,153.7908121609933,140.90382017000266
2021-05-02,,153.66845576327384,140.73220614676814
2021-05-03,,152.13366972000208,139.2554370766615
2021-05-04,,207.20430422513203,168.34821376740084
2021-05-05,,201.61558501773877,164.35374972135426
2021-05-06,,194.87949981540632,160.25995269568293
2021-05-07,,188.6259109067022,156.55901285043575
2021-05-08,,186.3947633787872,155.45513511195452
2021-05-09,,185.73401698389662,155.07966103507653
2021-05-10,,180.93204731176928,149.94519244689872
2021-05-11,,175.09955589735634,144.6025838985854
2021-05-12,,169.33463140590834,139.32840505810157
2021-05-13,,167.52190731822847,137.30020452995987
2021-05-14,,162.4666759563101,133.65225526659017
2021-05-15,,160.20462705993558,132.8363928964594
2021-05-16,,159.7687043074305,132.31677548580788
2021-05-17,,155.18252595029188,127.88738853952601
2021-05-18,,149.90216093642934,123.36768248845378
2021-05-19,,145.12557260313696,119.30768629483809
2021-05-20,,171.57104607024675,131.72273956741296
2021-05-21,,166.1703220314577,127.97390983515619
2021-05-22,,163.77609396527797,127.06301275113196
2021-05-23,,162.8625846941643,126.7961725961772
2021-05-24,,161.1436254349889,125.01874651062849
2021-05-25,,156.3106842668022,120.79044683941812
2021-05-26,,151.53856970367468,116.83907890289048
2021-05-27,,146.68446978176186,113.59485342027004
2021-05-28,,141.83810876720494,110.50166866431107
2021-05-29,,139.42304094054953,109.22187123930489
2021-05-30,,138.5485971954534,108.61424861275954
2021-05-31,,135.14325807180418,105.58032459563906
2021-06-01,,131.22567192776953,102.72681708413243
2021-06-02,,149.8795993205718,113.29244015731464
2021-06-03,,145.3580410499425,111.25680454563515
2021-06-04,,140.33883891053992,109.21746660334654
2021-06-05,,138.0415865986571,107.93953073289013
2021-06-06,,137.06455491003913,107.49468285229462
2021-06-07,,132.96527254855005,105.8719214430343
2021-06-08,,128.49110671111222,104.14787510438035
2021-06-09,,124.4560107074248,102.57199271738853
2021-06-10,,121.34026556003502,101.34315879387164
2021-06-11,,117.99998465539862,100.072284355396
2021-06-12,,116.16235237071652,99.20098917557777
2021-06-13,,115.28353903974357,98.74810328698932
