date,johnson_johnson,moderna,pfizer_biontech
23/03/2021,,152.3373905,190.2674084
13/04/2021,,166.711698,152.9457294
04/05/2021,,207.2043042,168.3482138
25/05/2021,,156.3106843,120.7904468
15/06/2021,,120.4117415,103.7333647
06/07/2021,,89.63676093,104.201902
27/07/2021,,90.9614109,111.8249392
17/08/2021,,107.1235704,126.2845568
07/09/2021,,134.4073832,136.9220107
28/09/2021,,151.0142078,138.8794519
19/10/2021,,168.6536198,140.0812884
09/11/2021,117.2421618,183.6520665,147.7215706
23/11/2021,116.2395101,191.1819634,154.4808964
